dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1760,7.1851666666666665,3.0889166666666665,,,,,,
1763,7.49675,3.1515833333333334,,,,,,
1769,7.694583333333333,2.410083333333333,,,,,,
1770,7.691916666666667,2.780666666666667,,,,,,
1783,7.680833333333333,2.4944166666666665,,,,,,
1784,7.861999999999999,2.2556666666666665,,,,,,
1785,7.3629999999999995,2.2395,,,,,,
1808,7.626833333333333,1.9968333333333332,,,,,,
1813,7.739916666666667,1.7088333333333334,,,,,,
1814,7.59175,2.1685,,,,,,
1818,7.828916666666667,1.8290833333333332,,,,,,
1820,7.61625,1.6187500000000001,,,,,,
1821,8.090083333333334,1.3758333333333335,,,,,,
1823,7.718666666666667,1.3622500000000002,,,,,,
1828,8.165333333333333,1.6484166666666666,,,,,,
1829,7.941833333333332,1.31975,,,,,,
1831,7.639166666666667,1.5315,,,,,,
1833,8.013,1.2335,,,,,,
1834,8.146749999999999,1.15225,,,,,,
1836,7.695833333333334,1.1694166666666665,,,,,,
1839,7.63225,1.1794166666666668,,,,,,
1840,7.796250000000001,0.9911666666666666,,,,,,
1841,7.688166666666667,0.952,,,,,,
1842,8.02275,0.8975,,,,,,
1843,8.173666666666668,0.7498333333333332,,,,,,
1844,7.646333333333334,0.926,,,,,,
1845,7.851166666666667,0.8815000000000001,,,,,,
1847,8.086,0.9006666666666666,,,,,,
1848,7.979499999999999,0.8713333333333333,,,,,,
1849,7.984416666666667,0.9135833333333334,,,,,,
1850,7.900666666666667,0.8764166666666666,13.476666666666667,2.394833333333333,1.964333333333333,1.5711666666666666,14.867166666666668,0.30816666666666664
1851,8.178583333333334,0.8819166666666667,13.081000000000001,2.39725,2.2039166666666667,1.6324166666666666,14.991833333333334,0.3120833333333333
1852,8.100166666666667,0.91825,13.397333333333334,2.61925,2.337,1.3829166666666666,15.0065,0.3164166666666667
1853,8.041833333333333,0.835,13.886583333333334,2.0950833333333336,1.8925,1.3555833333333334,14.955166666666669,0.2838333333333333
1854,8.2105,0.8256666666666667,13.977416666666668,1.7833333333333332,1.7621666666666664,1.357,14.991,0.2764166666666667
1855,8.11075,0.8871666666666668,13.493166666666667,1.3314166666666667,1.7028333333333332,1.6553333333333333,15.021083333333335,0.2911666666666667
1856,7.995916666666666,0.7607499999999999,13.47025,1.7982500000000001,1.5250833333333336,1.7785,14.879333333333333,0.26016666666666666
1857,7.758166666666667,0.7510833333333333,13.437583333333334,2.1791666666666667,1.8568333333333331,1.5911666666666668,14.758249999999999,0.25975
1858,8.10025,0.69975,13.683,1.87,2.11075,1.2243333333333333,14.8815,0.2518333333333333
1859,8.252,0.6746666666666666,13.860333333333335,1.87475,2.4601666666666664,1.143,14.929916666666665,0.25825000000000004
1860,7.960833333333333,0.626,13.96025,1.9348333333333334,2.3441666666666667,1.0843333333333334,14.882916666666667,0.25216666666666665
1861,7.8465,0.6534166666666666,13.85675,1.7413333333333334,2.26275,1.1636666666666666,14.800666666666666,0.2785
1863,8.111833333333333,0.7480000000000001,13.619916666666667,1.8411666666666668,2.7670833333333333,1.34525,14.935749999999999,0.31633333333333336
1864,7.983583333333333,0.6764166666666668,13.918916666666668,1.3424166666666668,2.4101666666666666,1.3254166666666667,14.896500000000001,0.28783333333333333
1865,8.177833333333334,0.6621666666666667,14.298083333333333,1.441,2.551833333333333,1.2215833333333332,14.996666666666668,0.30424999999999996
1866,8.292166666666667,0.606,14.165916666666668,1.1125,2.4322500000000002,1.1496666666666666,15.057,0.28608333333333336
1868,8.247916666666667,0.5463333333333333,14.097916666666668,1.1845,2.369666666666667,1.0447499999999998,15.096916666666667,0.24933333333333332
1869,8.432083333333333,0.5956666666666667,14.0695,1.2373333333333332,2.1650833333333335,1.2519166666666666,15.0655,0.24358333333333335
1870,8.201333333333332,0.5501666666666667,14.210083333333335,1.5009166666666667,2.424833333333333,1.2339166666666666,15.004333333333333,0.22483333333333333
1871,8.115083333333333,0.57025,13.983833333333335,1.1195,2.158,1.115,15.005916666666666,0.23199999999999998
1872,8.193833333333332,0.5890833333333333,14.285083333333333,0.9935,2.187416666666666,1.1159166666666667,15.019333333333334,0.2305
1873,8.351083333333333,0.5505,14.010166666666668,0.9541666666666666,1.9040833333333331,1.0369166666666667,15.04925,0.22208333333333333
1874,8.4335,0.5179166666666667,13.8835,1.0089166666666667,2.0616666666666665,1.02025,14.957,0.21333333333333335
1875,7.859583333333333,0.4515,14.008416666666667,0.9113333333333333,1.6141666666666665,0.9463333333333334,14.921916666666666,0.19708333333333336
1876,8.080083333333333,0.4335,13.934833333333335,0.805,2.1346666666666665,0.8708333333333332,14.909416666666667,0.19333333333333333
1879,8.165833333333333,0.46341666666666664,14.06575,0.7595,2.0789166666666667,0.7324166666666666,15.064416666666666,0.18341666666666664
1880,8.11875,0.41491666666666666,13.913416666666668,0.6961666666666666,2.054416666666667,0.7378333333333332,15.008666666666668,0.17291666666666664
1881,8.270916666666666,0.41933333333333334,14.050416666666665,0.7109166666666668,2.4264166666666664,0.6388333333333334,15.087166666666667,0.17008333333333334
1882,8.128916666666667,0.3799166666666667,14.11425,0.66925,2.272583333333333,0.6423333333333333,15.056583333333334,0.16008333333333333
1883,7.976916666666667,0.3706666666666667,13.96225,0.62825,1.8801666666666665,0.5594166666666667,14.96325,0.15116666666666664
1885,7.919666666666667,0.425,13.911583333333333,0.588,1.87425,0.5851666666666667,14.854416666666665,0.15491666666666667
1886,7.9545,0.38599999999999995,13.9465,0.65125,1.971166666666667,0.5730833333333333,14.83525,0.14533333333333334
1888,8.0905,0.3824166666666667,13.909166666666666,0.5886666666666667,1.9540833333333332,0.5604166666666667,14.994083333333334,0.14925
